epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.2584,2.63358,4.35071,1.64201,0,0,0,0,1.96321,4.28881,1.45997,0.000238167,0.000238167,0.000238167
2,38.4532,2.69802,4.34639,1.68195,0,0,0,0,1.93187,4.29039,1.44841,0.000711671,0.000711671,0.000711671
3,41.1038,2.73726,4.32244,1.67429,0,0,0,0,1.93187,4.29039,1.44841,0.0011814,0.0011814,0.0011814
4,43.6264,2.76058,4.26088,1.63243,0,0,0,0,1.94983,4.28827,1.45765,0.00141202,0.00141202,0.00141202
5,46.8038,2.85331,4.30287,1.72112,0,0,0,0,1.94983,4.28827,1.45765,0.00140636,0.00140636,0.00140636
6,50.0468,2.58259,4.30471,1.58897,0,0,0,0,1.98106,4.28892,1.46835,0.00140071,0.00140071,0.00140071
7,52.5116,2.67413,4.35759,1.68375,0,0,0,0,1.98106,4.28892,1.46835,0.00139505,0.00139505,0.00139505
8,55.6594,2.79605,4.05617,1.53304,0.0005,0.01481,0.00054,5e-05,2.4046,4.0872,1.41511,0.00138939,0.00138939,0.00138939
9,58.4158,2.62468,3.83514,1.32948,0.0005,0.01481,0.00054,5e-05,2.4046,4.0872,1.41511,0.00138373,0.00138373,0.00138373
10,62.2173,2.50363,3.82798,1.27802,0.00073,0.02222,0.00033,4e-05,2.33667,4.0806,1.34245,0.00137807,0.00137807,0.00137807
11,65.1113,2.64592,3.83873,1.36618,0.00073,0.02222,0.00033,4e-05,2.33667,4.0806,1.34245,0.00137241,0.00137241,0.00137241
12,67.6477,2.77336,3.89459,1.41866,0.00073,0.02222,0.0001,2e-05,2.29085,4.07105,1.30904,0.00136675,0.00136675,0.00136675
13,70.3756,2.60823,3.83403,1.42932,0.00073,0.02222,0.0001,2e-05,2.29085,4.07105,1.30904,0.00136109,0.00136109,0.00136109
14,72.7779,2.54122,3.68442,1.34889,0,0,0,0,2.55058,4.1687,1.7045,0.00135544,0.00135544,0.00135544
15,76.4818,2.25454,3.63651,1.34386,0,0,0,0,2.55058,4.1687,1.7045,0.00134978,0.00134978,0.00134978
16,78.9535,2.59157,3.41068,1.32716,0.00278,0.21111,0.00099,0.00015,1.89245,4.10062,1.28328,0.00134412,0.00134412,0.00134412
17,81.6911,2.28702,3.31524,1.18431,0.00278,0.21111,0.00099,0.00015,1.89245,4.10062,1.28328,0.00133846,0.00133846,0.00133846
18,84.1388,2.10446,3.0778,1.27861,0,0,0,0,1.93989,4.00811,1.33702,0.0013328,0.0013328,0.0013328
19,87.1123,1.94813,2.88546,1.20179,0,0,0,0,1.93989,4.00811,1.33702,0.00132714,0.00132714,0.00132714
20,90.7612,1.97018,2.77673,1.20554,0.00187,0.00312,5e-05,1e-05,2.03019,3.8992,1.29686,0.00132148,0.00132148,0.00132148
21,93.4472,1.96698,2.6265,1.17522,0.00187,0.00312,5e-05,1e-05,2.03019,3.8992,1.29686,0.00131582,0.00131582,0.00131582
22,95.9117,1.71239,2.37324,1.12834,0.05423,0.10758,0.04428,0.01546,1.62779,3.76619,1.16974,0.00131016,0.00131016,0.00131016
23,98.7542,1.72894,2.25774,1.08617,0.05423,0.10758,0.04428,0.01546,1.62779,3.76619,1.16974,0.00130451,0.00130451,0.00130451
24,102.318,1.7746,2.11468,1.07622,0.09563,0.20658,0.08862,0.03068,1.68308,3.6038,1.19594,0.00129885,0.00129885,0.00129885
25,105.088,1.6175,1.98592,1.07383,0.09563,0.20658,0.08862,0.03068,1.68308,3.6038,1.19594,0.00129319,0.00129319,0.00129319
26,107.772,1.79816,2.00361,1.08038,0.03578,0.14538,0.02909,0.01166,1.66341,3.56796,1.20578,0.00128753,0.00128753,0.00128753
27,110.155,1.45235,1.91547,1.05313,0.03578,0.14538,0.02909,0.01166,1.66341,3.56796,1.20578,0.00128187,0.00128187,0.00128187
28,113.304,1.40104,1.78073,1.04705,0.01866,0.30969,0.00719,0.00178,1.64817,4.25961,1.28512,0.00127621,0.00127621,0.00127621
29,117.415,1.58176,1.77702,1.04302,0.01866,0.30969,0.00719,0.00178,1.64817,4.25961,1.28512,0.00127055,0.00127055,0.00127055
30,120.226,1.66429,1.81126,1.0397,0.02703,0.11769,0.00922,0.00367,1.68662,6.56353,1.27483,0.00126489,0.00126489,0.00126489
31,123.361,1.51376,1.724,1.07903,0.02703,0.11769,0.00922,0.00367,1.68662,6.56353,1.27483,0.00125923,0.00125923,0.00125923
32,125.923,1.54799,1.70273,1.03678,0.0319,0.1352,0.00776,0.00257,1.81436,10.0648,1.30826,0.00125358,0.00125358,0.00125358
33,129.447,1.5778,1.82444,1.09045,0.0319,0.1352,0.00776,0.00257,1.81436,10.0648,1.30826,0.00124792,0.00124792,0.00124792
34,132.294,1.31047,1.52028,0.98848,0.03389,0.12932,0.01646,0.00363,1.97504,7.65231,1.39957,0.00124226,0.00124226,0.00124226
35,134.989,1.4902,1.57711,1.01044,0.03389,0.12932,0.01646,0.00363,1.97504,7.65231,1.39957,0.0012366,0.0012366,0.0012366
36,137.629,1.32768,1.45837,0.9899,0.05138,0.20138,0.0295,0.01238,1.78836,3.58735,1.28164,0.00123094,0.00123094,0.00123094
37,140.435,1.26673,1.54897,0.96364,0.05138,0.20138,0.0295,0.01238,1.78836,3.58735,1.28164,0.00122528,0.00122528,0.00122528
38,144.132,1.4043,1.58559,0.99332,0.07498,0.42548,0.08259,0.03872,1.40688,3.15187,1.08056,0.00121962,0.00121962,0.00121962
39,146.897,1.33845,1.33681,0.96397,0.07498,0.42548,0.08259,0.03872,1.40688,3.15187,1.08056,0.00121396,0.00121396,0.00121396
40,149.805,1.26774,1.31411,0.9835,0.08318,0.64905,0.13735,0.0726,1.33599,3.08088,1.03805,0.00120831,0.00120831,0.00120831
41,152.448,1.24123,1.49812,0.95668,0.08318,0.64905,0.13735,0.0726,1.33599,3.08088,1.03805,0.00120265,0.00120265,0.00120265
42,156.277,1.34364,1.40263,0.98415,0.08127,0.64282,0.26277,0.13328,1.27949,2.98558,1.04023,0.00119699,0.00119699,0.00119699
43,159.006,1.26013,1.36138,0.95085,0.08127,0.64282,0.26277,0.13328,1.27949,2.98558,1.04023,0.00119133,0.00119133,0.00119133
44,161.525,1.19404,1.43716,0.94113,0.07919,0.60149,0.39835,0.19238,1.32511,2.95312,1.04168,0.00118567,0.00118567,0.00118567
45,163.947,1.27143,1.33072,0.94691,0.07919,0.60149,0.39835,0.19238,1.32511,2.95312,1.04168,0.00118001,0.00118001,0.00118001
46,166.313,1.2598,1.32534,0.93348,0.08848,0.81454,0.42425,0.21557,1.5049,2.92893,1.0414,0.00117435,0.00117435,0.00117435
47,170.324,1.2728,1.33278,0.93141,0.08848,0.81454,0.42425,0.21557,1.5049,2.92893,1.0414,0.00116869,0.00116869,0.00116869
48,172.906,1.18729,1.3538,0.95656,0.08974,0.8765,0.37431,0.20577,1.44743,2.74461,1.02799,0.00116303,0.00116303,0.00116303
49,175.224,1.32868,1.45021,0.93852,0.08974,0.8765,0.37431,0.20577,1.44743,2.74461,1.02799,0.00115738,0.00115738,0.00115738
50,177.551,1.07971,1.38538,0.94903,0.22793,0.88937,0.30926,0.1747,1.38721,2.63111,1.0151,0.00115172,0.00115172,0.00115172
51,179.88,1.26484,1.33349,0.96066,0.22793,0.88937,0.30926,0.1747,1.38721,2.63111,1.0151,0.00114606,0.00114606,0.00114606
52,183.627,1.14192,1.30624,0.91602,0.35821,0.28141,0.32977,0.18684,1.38681,2.54833,1.00137,0.0011404,0.0011404,0.0011404
53,186.29,1.24635,1.24798,0.94445,0.35821,0.28141,0.32977,0.18684,1.38681,2.54833,1.00137,0.00113474,0.00113474,0.00113474
54,188.884,1.2017,1.21519,0.94881,0.32904,0.23309,0.29334,0.1709,1.59696,2.59119,1.03794,0.00112908,0.00112908,0.00112908
55,191.804,1.17428,1.2264,0.94421,0.32904,0.23309,0.29334,0.1709,1.59696,2.59119,1.03794,0.00112342,0.00112342,0.00112342
56,195.509,1.30296,1.31281,0.93185,0.67522,0.2344,0.29919,0.17542,1.52323,2.45546,1.03643,0.00111776,0.00111776,0.00111776
57,198.054,1.23119,1.20603,0.92001,0.67522,0.2344,0.29919,0.17542,1.52323,2.45546,1.03643,0.0011121,0.0011121,0.0011121
58,200.374,1.16226,1.21297,0.92975,0.36989,0.32309,0.34393,0.20911,1.30742,2.22483,1.00271,0.00110645,0.00110645,0.00110645
59,203.045,1.1345,1.17846,0.9269,0.36989,0.32309,0.34393,0.20911,1.30742,2.22483,1.00271,0.00110079,0.00110079,0.00110079
60,205.722,1.17671,1.26587,0.93557,0.3863,0.38034,0.41296,0.26834,1.30174,1.94169,1.01059,0.00109513,0.00109513,0.00109513
61,209.641,1.23509,1.20726,0.91804,0.3863,0.38034,0.41296,0.26834,1.30174,1.94169,1.01059,0.00108947,0.00108947,0.00108947
62,212.341,1.21256,1.22239,0.92552,0.46286,0.39655,0.46122,0.29071,1.37141,1.74926,1.02435,0.00108381,0.00108381,0.00108381
63,214.844,1.15963,1.20407,0.89978,0.46286,0.39655,0.46122,0.29071,1.37141,1.74926,1.02435,0.00107815,0.00107815,0.00107815
64,217.737,1.15726,1.16144,0.90118,0.44554,0.46726,0.51962,0.34129,1.2142,1.53658,0.99236,0.00107249,0.00107249,0.00107249
65,220.168,1.073,1.16282,0.91863,0.44554,0.46726,0.51962,0.34129,1.2142,1.53658,0.99236,0.00106683,0.00106683,0.00106683
66,223.716,0.98671,1.16031,0.88371,0.46891,0.50426,0.5793,0.40976,1.03211,1.37738,0.95882,0.00106118,0.00106118,0.00106118
67,226.287,1.19366,1.14775,0.91404,0.46891,0.50426,0.5793,0.40976,1.03211,1.37738,0.95882,0.00105552,0.00105552,0.00105552
68,228.921,1.11403,1.07158,0.90327,0.6614,0.70748,0.70163,0.51998,0.99868,1.31922,0.9451,0.00104986,0.00104986,0.00104986
69,231.699,0.93994,1.05568,0.87488,0.6614,0.70748,0.70163,0.51998,0.99868,1.31922,0.9451,0.0010442,0.0010442,0.0010442
