epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.75628,2.67748,4.28095,1.7318,0,0,0,0,1.9628,4.26452,1.46056,0.000238167,0.000238167,0.000238167
2,14.8316,2.59248,4.27734,1.73789,0,0,0,0,1.90728,4.2643,1.43875,0.000711671,0.000711671,0.000711671
3,18.1509,2.74795,4.27171,1.80938,0,0,0,0,1.90728,4.2643,1.43875,0.0011814,0.0011814,0.0011814
4,22.205,2.71464,4.21667,1.69513,0,0,0,0,1.90977,4.25533,1.4431,0.00141202,0.00141202,0.00141202
5,26.0993,2.75221,4.25673,1.77417,0,0,0,0,1.90977,4.25533,1.4431,0.00140636,0.00140636,0.00140636
6,29.5467,2.58101,4.23797,1.66801,0,0,0,0,1.91153,4.25424,1.44154,0.00140071,0.00140071,0.00140071
7,32.8676,2.57397,4.27432,1.72297,0,0,0,0,1.91153,4.25424,1.44154,0.00139505,0.00139505,0.00139505
8,37.3487,2.57815,4.02528,1.56409,0.00023,0.16667,0.00089,9e-05,2.19021,4.10664,1.4228,0.00138939,0.00138939,0.00138939
9,41.4204,2.51937,3.85019,1.39943,0.00023,0.16667,0.00089,9e-05,2.19021,4.10664,1.4228,0.00138373,0.00138373,0.00138373
10,44.9817,2.48829,3.827,1.36814,0.00023,0.16667,0.00071,7e-05,2.15761,4.09964,1.38131,0.00137807,0.00137807,0.00137807
11,49.5085,2.48693,3.85437,1.41057,0.00023,0.16667,0.00071,7e-05,2.15761,4.09964,1.38131,0.00137241,0.00137241,0.00137241
12,53.6457,2.46343,3.7067,1.39803,0.00024,0.16667,0.00013,3e-05,2.58975,4.04316,1.79275,0.00136675,0.00136675,0.00136675
13,57.2995,2.24858,3.59725,1.37367,0.00024,0.16667,0.00013,3e-05,2.58975,4.04316,1.79275,0.00136109,0.00136109,0.00136109
14,60.9879,2.28895,3.59316,1.30054,0.00023,0.16667,0.00014,4e-05,2.55006,4.04022,1.70859,0.00135544,0.00135544,0.00135544
15,65.9775,2.25292,3.56693,1.35125,0.00023,0.16667,0.00014,4e-05,2.55006,4.04022,1.70859,0.00134978,0.00134978,0.00134978
16,69.4684,2.25178,3.39536,1.25501,0.00025,0.16667,0.00015,3e-05,2.1,4.04213,1.43049,0.00134412,0.00134412,0.00134412
17,72.8441,2.10665,3.26362,1.166,0.00025,0.16667,0.00015,3e-05,2.1,4.04213,1.43049,0.00133846,0.00133846,0.00133846
