epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,67.6242,2.51102,4.7985,0.00487,0,0,0,0,1.78239,4.71996,0.00408,0.000238167,0.000238167,0.000238167
2,74.3412,2.55945,4.80302,0.00482,0,0,0,0,1.79802,4.70758,0.00419,0.000711671,0.000711671,0.000711671
3,80.3866,2.43965,4.79448,0.00475,0,0,0,0,1.79802,4.70758,0.00419,0.0011814,0.0011814,0.0011814
4,86.8829,2.40536,4.56501,0.00441,0,0,0,0,1.81126,4.70227,0.00422,0.00141202,0.00141202,0.00141202
5,94.2332,2.46164,4.68736,0.00485,0,0,0,0,1.81126,4.70227,0.00422,0.00140636,0.00140636,0.00140636
6,100.407,2.31073,4.66782,0.00423,0,0,0,0,1.81618,4.69927,0.00421,0.00140071,0.00140071,0.00140071
7,107.472,2.42295,4.81209,0.00478,0,0,0,0,1.81618,4.69927,0.00421,0.00139505,0.00139505,0.00139505
8,113.709,2.18829,4.47833,0.00408,0,0,0,0,1.337,4.5172,0.00298,0.00138939,0.00138939,0.00138939
9,120.59,1.88993,4.4178,0.003,0,0,0,0,1.337,4.5172,0.00298,0.00138373,0.00138373,0.00138373
10,127.792,1.87038,4.30773,0.00287,0,0,0,0,1.31948,4.52935,0.00293,0.00137807,0.00137807,0.00137807
11,135.147,1.9251,4.38128,0.00309,0,0,0,0,1.31948,4.52935,0.00293,0.00137241,0.00137241,0.00137241
12,141.862,1.87204,4.21479,0.00296,0,0,0,0,1.50381,4.20696,0.00333,0.00136675,0.00136675,0.00136675
13,149.515,1.55711,4.00787,0.00261,0,0,0,0,1.50381,4.20696,0.00333,0.00136109,0.00136109,0.00136109
14,156.96,1.65018,3.74886,0.00246,0,0,0,0,1.42336,4.21908,0.00307,0.00135544,0.00135544,0.00135544
15,164.118,1.61194,3.71917,0.00289,0,0,0,0,1.42336,4.21908,0.00307,0.00134978,0.00134978,0.00134978
16,171.765,1.56173,3.45605,0.00216,0,0,0,0,1.2823,4.27191,0.00291,0.00134412,0.00134412,0.00134412
17,179.042,1.46454,3.24011,0.00202,0,0,0,0,1.2823,4.27191,0.00291,0.00133846,0.00133846,0.00133846
18,186.723,1.48865,3.25954,0.00245,0,0,0,0,1.25787,4.17816,0.00257,0.0013328,0.0013328,0.0013328
19,193.227,1.40524,3.01062,0.00223,0,0,0,0,1.25787,4.17816,0.00257,0.00132714,0.00132714,0.00132714
20,201.263,1.3332,2.76343,0.00211,0,0,0,0,1.19627,4.05138,0.00251,0.00132148,0.00132148,0.00132148
21,207.49,1.60395,2.50782,0.00208,0,0,0,0,1.19627,4.05138,0.00251,0.00131582,0.00131582,0.00131582
22,215.51,1.32034,2.33501,0.00201,0.00026,0.00312,5e-05,3e-05,1.15829,3.95674,0.00259,0.00131016,0.00131016,0.00131016
23,222.013,1.42188,2.46979,0.00197,0.00026,0.00312,5e-05,3e-05,1.15829,3.95674,0.00259,0.00130451,0.00130451,0.00130451
24,229.883,1.36039,2.3001,0.00183,0.06319,0.14102,0.06419,0.0473,1.15504,3.74655,0.00251,0.00129885,0.00129885,0.00129885
25,235.865,1.30228,2.48295,0.00194,0.06319,0.14102,0.06419,0.0473,1.15504,3.74655,0.00251,0.00129319,0.00129319,0.00129319
26,243.673,1.45959,2.23669,0.00192,0.07226,0.36393,0.17358,0.10974,1.25463,3.488,0.00275,0.00128753,0.00128753,0.00128753
27,249.438,1.24701,2.61629,0.00205,0.07226,0.36393,0.17358,0.10974,1.25463,3.488,0.00275,0.00128187,0.00128187,0.00128187
28,257.715,1.32269,2.30067,0.00206,0.06685,0.49214,0.24142,0.14806,1.29422,3.29488,0.00279,0.00127621,0.00127621,0.00127621
