epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.9404,2.38272,4.37729,1.57242,0.0003,0.00568,4e-05,1e-05,1.72783,4.2184,1.17907,0.000357143,0.000357143,0.000357143
2,55.6594,1.53225,3.79843,1.06923,0.00112,0.02841,0.00118,0.00033,1.42332,4.12194,1.01132,0.000771256,0.000771256,0.000771256
3,63.187,1.41664,3.47661,1.00212,0.00195,0.04545,0.00337,0.00073,1.54612,4.15787,1.17146,0.00118262,0.00118262,0.00118262
4,73.337,1.52922,3.2366,1.05218,0.00425,0.10227,0.01469,0.00333,1.47611,4.13749,1.13832,0.00123763,0.00123763,0.00123763
5,80.5348,1.49606,2.79183,1.03338,0.00119,0.02841,0.00247,0.00032,1.77669,4.09868,1.33468,0.0012335,0.0012335,0.0012335
6,88.5091,1.45084,2.33207,1.03784,0.00221,0.05682,0.00144,0.00024,1.67112,3.96094,1.23035,0.00122937,0.00122937,0.00122937
7,95.1933,1.31221,2.07082,1.02416,0.00521,0.125,0.05649,0.01698,1.66081,3.85484,1.19037,0.00122525,0.00122525,0.00122525
8,102.752,1.2855,1.78882,0.98255,0.00839,0.16477,0.07365,0.03157,1.53526,3.74907,1.11988,0.00122112,0.00122112,0.00122112
9,110.223,1.27373,1.6432,0.97592,0.01293,0.17045,0.11918,0.05254,1.43815,3.66274,1.07878,0.001217,0.001217,0.001217
10,117.209,1.14836,1.45583,0.95067,0.02123,0.19837,0.1499,0.08377,1.28861,3.43344,1.01197,0.00121287,0.00121287,0.00121287
11,125.366,1.17249,1.40525,0.93931,0.19181,0.22563,0.20402,0.11308,1.28914,3.29412,1.00208,0.00120875,0.00120875,0.00120875
12,132.588,1.17825,1.43287,0.94379,0.04466,0.3503,0.24889,0.16416,1.30014,3.03447,0.97423,0.00120462,0.00120462,0.00120462
13,141.241,1.1067,1.30732,0.92142,0.04497,0.35573,0.2651,0.18102,1.2678,2.97302,0.96772,0.0012005,0.0012005,0.0012005
14,147.637,1.0641,1.25712,0.91482,0.72999,0.22939,0.40182,0.2638,1.20116,2.37482,0.92896,0.00119637,0.00119637,0.00119637
15,155.289,1.03129,1.17085,0.91101,0.6596,0.33945,0.44593,0.29615,1.1267,2.00717,0.91967,0.00119225,0.00119225,0.00119225
16,162.747,0.98446,1.11124,0.89058,0.71764,0.37154,0.45485,0.3105,1.14849,1.87622,0.92792,0.00118812,0.00118812,0.00118812
17,170.098,1.05013,1.13066,0.89446,0.68655,0.3662,0.46828,0.31346,1.12196,1.89656,0.92548,0.001184,0.001184,0.001184
18,176.242,0.97044,1.03744,0.88328,0.6862,0.36614,0.47631,0.3396,1.10471,1.87275,0.92402,0.00117988,0.00117988,0.00117988
19,185.082,0.96458,1.0271,0.88238,0.6969,0.35017,0.48082,0.35903,1.03322,1.75551,0.90916,0.00117575,0.00117575,0.00117575
20,191.699,0.96512,0.99701,0.87897,0.63746,0.41567,0.48148,0.34553,1.03486,1.49107,0.90346,0.00117163,0.00117163,0.00117163
21,200.334,1.03511,1.04738,0.89735,0.68527,0.4219,0.4991,0.34537,1.06412,1.40634,0.90917,0.0011675,0.0011675,0.0011675
22,208.207,0.85153,0.94922,0.87228,0.68027,0.42828,0.47982,0.34437,1.03154,1.4299,0.90808,0.00116337,0.00116337,0.00116337
23,215.545,1.02284,0.98268,0.87879,0.66953,0.45578,0.50959,0.37072,0.97889,1.27485,0.90231,0.00115925,0.00115925,0.00115925
24,223.045,0.94062,0.95803,0.87479,0.54879,0.47244,0.53351,0.39249,1.01363,1.17635,0.90919,0.00115513,0.00115513,0.00115513
25,229.59,0.90558,0.89816,0.86743,0.59227,0.4421,0.5288,0.38843,0.99122,1.13609,0.90481,0.001151,0.001151,0.001151
26,238.024,0.93357,0.92317,0.87133,0.58636,0.4637,0.52604,0.38399,0.99514,1.1331,0.91747,0.00114688,0.00114688,0.00114688
27,244.391,0.90045,0.91382,0.85948,0.55711,0.51147,0.54404,0.39457,0.96326,1.05835,0.90506,0.00114275,0.00114275,0.00114275
28,252.166,0.88956,0.90781,0.86838,0.96522,0.47188,0.50948,0.37413,0.92964,1.03279,0.89713,0.00113863,0.00113863,0.00113863
29,259.546,0.88061,0.90673,0.86374,0.45878,0.47233,0.52166,0.37154,1.0235,1.04626,0.91301,0.0011345,0.0011345,0.0011345
30,267.596,0.92744,0.89704,0.88362,0.96807,0.42853,0.50516,0.38107,0.9113,0.92063,0.88755,0.00113038,0.00113038,0.00113038
31,275.368,0.86364,0.89403,0.86844,0.71245,0.45149,0.50957,0.36959,0.97184,0.93202,0.89257,0.00112625,0.00112625,0.00112625
32,282.95,0.83749,0.81893,0.85501,0.44878,0.49489,0.507,0.36484,0.9944,0.98355,0.92301,0.00112213,0.00112213,0.00112213
33,291.487,0.8895,0.86197,0.86102,0.44899,0.52295,0.52578,0.37683,0.94796,0.97959,0.909,0.001118,0.001118,0.001118
34,297.34,0.85642,0.81267,0.85077,0.43079,0.77711,0.57322,0.39952,0.9478,1.02865,0.90121,0.00111388,0.00111388,0.00111388
35,305.045,0.83549,0.82298,0.86466,0.57836,0.72831,0.62703,0.42097,0.90543,0.94336,0.8965,0.00110975,0.00110975,0.00110975
36,312.39,0.82371,0.82531,0.85471,0.41088,0.52813,0.5459,0.37472,1.0161,1.02758,0.91609,0.00110563,0.00110563,0.00110563
37,320.165,0.86434,0.80985,0.8565,0.50158,0.4838,0.51045,0.34223,1.12238,1.08599,0.94151,0.0011015,0.0011015,0.0011015
38,327.896,0.84884,0.80915,0.8472,0.50458,0.49337,0.50546,0.3645,0.95333,1.05548,0.91486,0.00109738,0.00109738,0.00109738
39,334.978,0.82349,0.76084,0.84284,0.74545,0.50855,0.58606,0.41535,0.97898,0.94138,0.89477,0.00109325,0.00109325,0.00109325
40,342.974,0.82254,0.75809,0.84385,0.44967,0.78024,0.60964,0.42652,0.87505,0.83671,0.87459,0.00108913,0.00108913,0.00108913
41,350.107,0.86011,0.83512,0.85174,0.91873,0.47262,0.57795,0.4243,0.8505,0.82837,0.8729,0.001085,0.001085,0.001085
42,358.698,0.80276,0.74546,0.84555,0.47853,0.78008,0.59329,0.42036,0.90635,0.85347,0.89009,0.00108088,0.00108088,0.00108088
43,364.576,0.76294,0.74723,0.84981,0.48094,0.78925,0.61761,0.42832,0.91931,0.85778,0.89176,0.00107675,0.00107675,0.00107675
44,372.997,0.94095,0.82949,0.85354,0.73755,0.51418,0.57593,0.41695,0.87117,0.85802,0.87648,0.00107263,0.00107263,0.00107263
45,379.212,0.72619,0.70132,0.83285,0.75256,0.49946,0.55543,0.40219,0.89847,0.8392,0.88174,0.0010685,0.0010685,0.0010685
46,388.057,0.77808,0.68772,0.83034,0.78019,0.49685,0.55166,0.40385,0.91799,0.83184,0.88783,0.00106437,0.00106437,0.00106437
47,395.156,0.86269,0.79821,0.84977,0.57795,0.71668,0.65885,0.42843,0.99046,0.83763,0.91739,0.00106025,0.00106025,0.00106025
48,402.475,0.85518,0.74386,0.84941,0.55954,0.77789,0.62084,0.42112,0.92964,0.81048,0.89699,0.00105612,0.00105612,0.00105612
49,411.006,0.75873,0.69248,0.83389,0.54469,0.75814,0.59668,0.41898,0.90189,0.84034,0.89003,0.001052,0.001052,0.001052
