epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.4705,2.34133,4.34415,1.64162,0,0,0,0,1.69616,4.29454,1.25496,0.000357143,0.000357143,0.000357143
2,62.3775,1.46281,3.75171,1.06076,0,0,0,0,1.44076,4.14306,1.0655,0.000771256,0.000771256,0.000771256
3,74.8355,1.44773,3.49075,1.01415,0.00576,0.05089,0.00295,0.00066,1.38204,4.06116,1.04049,0.00118262,0.00118262,0.00118262
4,87.2706,1.50219,2.99752,1.04785,0.01005,0.14674,0.01353,0.0033,1.56426,4.07065,1.12008,0.00123763,0.00123763,0.00123763
5,98.1065,1.36174,2.36063,0.98486,0.85791,0.07386,0.06197,0.01649,1.50323,3.84535,1.0582,0.0012335,0.0012335,0.0012335
6,108.568,1.3935,2.05968,1.02332,0.01861,0.22554,0.10353,0.05042,1.47869,3.73045,1.1361,0.00122937,0.00122937,0.00122937
7,118.596,1.26662,1.86963,0.98814,0.95554,0.13136,0.16925,0.0812,1.43219,3.55177,1.01781,0.00122525,0.00122525,0.00122525
8,129.52,1.26839,1.7264,0.96658,0.02334,0.29101,0.20641,0.11711,1.29392,3.43761,0.96795,0.00122112,0.00122112,0.00122112
9,136.921,1.24836,1.64009,0.95443,0.02685,0.31299,0.21582,0.1298,1.22787,3.43698,0.96063,0.001217,0.001217,0.001217
10,147.179,1.14069,1.49406,0.93951,0.98731,0.10628,0.22993,0.13927,1.30621,3.18386,0.98201,0.00121287,0.00121287,0.00121287
11,158.077,1.0642,1.40678,0.91805,0.98938,0.12818,0.25565,0.15595,1.44874,2.90363,0.98678,0.00120875,0.00120875,0.00120875
12,168.041,1.09158,1.37025,0.91295,0.89518,0.13459,0.27021,0.18782,1.13222,2.70209,0.91206,0.00120462,0.00120462,0.00120462
13,177.395,1.05757,1.29042,0.90413,0.91686,0.14958,0.30529,0.21069,1.12052,2.63722,0.91043,0.0012005,0.0012005,0.0012005
14,188.959,1.02975,1.26223,0.90381,0.97253,0.22761,0.42788,0.29538,1.10752,2.36148,0.90287,0.00119637,0.00119637,0.00119637
15,199.493,0.95605,1.14824,0.8944,0.72108,0.27665,0.57531,0.32744,1.11202,2.18735,0.90999,0.00119225,0.00119225,0.00119225
16,209.715,0.98218,1.10737,0.89503,0.78802,0.44926,0.59398,0.35545,1.02865,2.03113,0.90181,0.00118812,0.00118812,0.00118812
17,221.052,0.99445,1.09244,0.89621,0.85801,0.57576,0.61827,0.36773,1.0111,1.97612,0.89281,0.001184,0.001184,0.001184
18,230.164,0.88469,1.01208,0.87617,0.79293,0.61888,0.62462,0.37801,1.04197,1.75972,0.89159,0.00117988,0.00117988,0.00117988
19,240.735,0.89805,0.94329,0.87894,0.71107,0.63869,0.51778,0.35601,1.00644,1.56479,0.89857,0.00117575,0.00117575,0.00117575
20,252.268,0.89337,0.92683,0.87638,0.62748,0.43379,0.48353,0.35056,1.04817,1.46413,0.9086,0.00117163,0.00117163,0.00117163
21,263.162,0.94636,1.04306,0.89313,0.43928,0.45135,0.49831,0.36352,1.03226,1.4309,0.8989,0.0011675,0.0011675,0.0011675
