epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,26.973,2.11797,4.85166,0.00425,0,0,0,0,1.59515,4.76746,0.00379,0.000357143,0.000357143,0.000357143
2,43.1287,1.51913,4.34317,0.00261,0.00044,0.02778,0.00011,3e-05,1.23241,4.58039,0.00255,0.000771256,0.000771256,0.000771256
3,57.4545,1.33979,3.94963,0.0021,0.00121,0.02841,0.00075,0.00011,1.38799,4.67097,0.00294,0.00118262,0.00118262,0.00118262
4,71.076,1.19458,3.56444,0.00198,0.00168,0.03409,0.00091,0.00011,1.44816,4.53466,0.00345,0.00123763,0.00123763,0.00123763
5,83.4311,1.15496,3.05564,0.00193,0.00092,0.01705,0.00063,6e-05,1.54062,4.52557,0.00379,0.0012335,0.0012335,0.0012335
6,94.6238,1.29481,2.76659,0.00222,0.00069,0.01136,0.00023,8e-05,1.46575,4.42792,0.00356,0.00122937,0.00122937,0.00122937
7,105.329,1.22315,2.68548,0.00211,0.0562,0.26828,0.15019,0.07939,1.5272,4.00012,0.00399,0.00122525,0.00122525,0.00122525
8,113.82,1.21131,2.45898,0.00196,0.0381,0.33893,0.18837,0.09738,1.62352,3.69667,0.00421,0.00122112,0.00122112,0.00122112
9,124.449,1.27232,2.39692,0.00193,0.03523,0.35573,0.20214,0.11474,1.51124,3.60534,0.00363,0.001217,0.001217,0.001217
10,134.484,1.15848,2.14861,0.00188,0.03076,0.33893,0.22484,0.13573,1.43503,3.50188,0.00317,0.00121287,0.00121287,0.00121287
11,146.023,1.14285,2.0449,0.00174,0.03065,0.34486,0.23633,0.14737,1.40323,3.4365,0.00308,0.00120875,0.00120875,0.00120875
12,154.749,1.12356,2.04982,0.00174,0.53151,0.23913,0.23934,0.15522,1.35318,3.24012,0.00304,0.00120462,0.00120462,0.00120462
13,166.915,1.06692,1.85748,0.0016,0.87005,0.13439,0.23848,0.15736,1.40667,3.14851,0.00324,0.0012005,0.0012005,0.0012005
14,176.671,1.11888,1.84349,0.00167,0.88125,0.19004,0.29142,0.20352,1.26082,2.7015,0.00276,0.00119637,0.00119637,0.00119637
15,186.954,1.0078,1.78788,0.00166,0.85478,0.24465,0.33353,0.23971,1.17682,2.38347,0.00248,0.00119225,0.00119225,0.00119225
16,198.435,1.06697,1.68276,0.00163,0.6472,0.29023,0.37179,0.27017,1.10587,2.10628,0.00218,0.00118812,0.00118812,0.00118812
17,208.272,1.09651,1.6172,0.00161,0.66188,0.32535,0.38604,0.2688,1.16606,2.10307,0.0024,0.001184,0.001184,0.001184
18,218.573,1.02753,1.63695,0.00161,0.65405,0.30245,0.39408,0.28233,1.08719,2.03929,0.00224,0.00117988,0.00117988,0.00117988
19,230.189,1.06617,1.55224,0.00173,0.64329,0.3209,0.38956,0.27243,1.09169,2.04433,0.00231,0.00117575,0.00117575,0.00117575
20,241.147,1.01756,1.44153,0.00161,0.64479,0.31571,0.39876,0.27686,1.07292,1.92498,0.00213,0.00117163,0.00117163,0.00117163
21,251.908,1.07114,1.58162,0.00171,0.86033,0.31139,0.41696,0.28776,1.05258,1.82523,0.00207,0.0011675,0.0011675,0.0011675
22,264.423,0.95068,1.56937,0.00164,0.54016,0.36635,0.43929,0.29844,1.06986,1.81144,0.00206,0.00116337,0.00116337,0.00116337
23,274.085,1.02055,1.44545,0.00146,0.61563,0.59956,0.42022,0.30339,1.05141,1.73693,0.00205,0.00115925,0.00115925,0.00115925
24,283.317,1.05491,1.43493,0.00174,0.66167,0.57139,0.42032,0.28407,1.21296,1.7819,0.0023,0.00115513,0.00115513,0.00115513
25,294.979,1.01056,1.36453,0.00156,0.42126,0.60091,0.43777,0.29173,1.20957,1.69192,0.00226,0.001151,0.001151,0.001151
26,305.159,0.98599,1.35289,0.00135,0.32752,0.48022,0.45106,0.32711,1.05414,1.5192,0.00202,0.00114688,0.00114688,0.00114688
27,315.084,0.95571,1.25995,0.00135,0.61886,0.3723,0.44126,0.32396,1.01346,1.47857,0.00194,0.00114275,0.00114275,0.00114275
28,324.63,0.94402,1.24065,0.00134,0.88653,0.31028,0.42615,0.31367,1.08408,1.56028,0.00221,0.00113863,0.00113863,0.00113863
29,337.181,0.96569,1.28492,0.00144,0.3045,0.41806,0.43292,0.31288,1.07468,1.60267,0.00218,0.0011345,0.0011345,0.0011345
30,346.836,1.01903,1.27846,0.00153,0.40324,0.61136,0.45344,0.30202,1.15742,1.56429,0.00225,0.00113038,0.00113038,0.00113038
